n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,60265.319,NaN,-0.14199894714355468,-0.0014404420852661133,0,-0.06178465552059926,0.11398745344774965,-0.006056292504420323,0,0,0.243,0,25
1,60330.474,NaN,-0.13304240417480467,-0.0013523244857788087,0,-0.06190682856823886,0.11407471991034937,-0.00603883921190038,0,0,0.243,0,25
2,60395.66,NaN,-0.12465220642089844,-0.001270700216293335,0,-0.06206390820091835,0.1142841594205887,-0.006021385919380436,0,0,0.243,0,25
3,60470.703,NaN,-0.11562546539306641,-0.0011821372509002686,0,-0.06223844112611779,0.11442378576074826,-0.0059690260418206065,0,0,0.243,0,25
4,60536.041,65.3379999999961,-0.10833110809326171,-0.0011091772317886352,0,-0.06237806746627734,0.11442378576074826,-0.005951572749300664,0,0,0.243,0,25
5,60606.506,NaN,-0.10098848724365235,-0.0010324137210845946,0,-0.06229080100367763,0.11433651929814853,-0.005951572749300664,0,0,0.243,0,25
6,60671.173,NaN,-0.09461831665039062,-0.0009678931832313538,0,-0.06230825429619756,0.11438887917570836,-0.005777039824101231,0,0,0.243,0,25
7,60736.358,65.18499999999767,-0.08864931488037109,-0.0009086018800735473,0,-0.062482787221396996,0.11438887917570836,-0.005532693728822024,0,0,0.243,0,25
8,60801.452,65.09399999999732,-0.0830589370727539,-0.0008536242246627808,0,-0.0626049602690366,0.11461577197846763,-0.00603883921190038,0,0,0.243,0,25
9,60866.607,65.15500000000611,-0.07781497955322265,-0.000798502504825592,0,-0.0627271333166762,0.11414453308042916,-0.005707226654021458,0,0,0.243,0,25
10,60931.823,65.21599999999307,-0.07290461730957032,-0.0007485487461090088,0,-0.06286675965683575,0.11398745344774965,-0.005829399701661061,0,0,0.243,0,28
11,60996.978,65.15500000000611,-0.06830328369140624,-0.0007012768387794495,0,-0.06300638599699529,0.11370820076743057,-0.006003932626860492,0,0,0.242,0,28
12,61062.072,65.09399999999732,-0.06399522399902344,-0.0006580108404159546,0,-0.06307619916707506,0.11383037381507018,-0.005951572749300664,0,0,0.242,0,28
13,61127.441,65.36899999999878,-0.0599570426940918,-0.0006162098050117493,0,-0.06311110575211495,0.11369074747491062,-0.005794493116621174,0,0,0.242,0,28
14,61192.382,64.9409999999989,-0.05617359161376953,-0.0005773807764053345,0,-0.0632158255072346,0.11351621454971118,-0.0057246799465414016,0,0,0.242,0,28
15,61257.568,65.18600000000151,-0.05262858200073242,-0.0005408499240875244,0,-0.06332054526235427,0.11330677503947187,-0.006108652381980153,0,0,0.242,0,28
16,61322.723,65.15499999999884,-0.04930792999267578,-0.0005072624683380127,0,-0.06346017160251383,0.11320205528435222,-0.006597344572538566,0,0,0.242,0,28
17,61387.878,65.15499999999884,-0.04619558715820313,-0.0004747412204742432,0,-0.06354743806511354,0.11287044272647329,-0.005166174585903216,0,0,0.242,0,28
18,61453.002,65.12400000000343,-0.04328373336791992,-0.0004462154507637024,0,-0.06356489135763348,0.1133591349170317,-0.006143558967020039,0,0,0.242,0,28
19,61518.218,65.21600000000035,-0.040551971435546875,-0.000417505145072937,0,-0.06358234465015342,0.11309733552923257,-0.005951572749300664,0,0,0.242,0,28
20,61583.343,65.125,-0.037990779876708985,-0.0003885514438152313,0,-0.0633729051399141,0.11241665712095476,-0.0049741883681838385,0,0,0.242,0,28
21,61648.651,65.30799999999726,-0.035595359802246096,-0.0003658069968223572,0,-0.06363470452771325,0.11273081638631373,-0.006352998477259359,0,0,0.242,0,28
22,61713.623,64.97200000000157,-0.03334614944458008,-0.0003406627178192139,0,-0.06363470452771325,0.11175343200519691,-0.005131268000863328,0,0,0.242,0,28
23,61778.808,65.18499999999767,-0.031242250442504883,-0.00031814008951187134,0,-0.06339035843243405,0.11168361883511714,-0.0063006385996995295,0,0,0.242,0,28
24,61843.902,65.0940000000046,-0.029271257400512694,-0.0003000635206699371,0,-0.06400122367063206,0.1116661655425972,-0.0056374134839416844,0,0,0.242,0,28
25,61909.149,65.24699999999575,-0.027423999786376954,-0.000279897540807724,0,-0.06372197099031296,0.11143927273983792,-0.005829399701661061,0,0,0.243,0,34
26,61974.273,65.12400000000343,-0.02569232749938965,-0.0002623238861560822,0,-0.06408849013323178,0.11088076737919976,-0.007976154681614086,0,0,0.242,0,34
27,62039.398,65.125,-0.024070926666259766,-0.0002450801432132721,0,-0.06394886379307223,0.11065387457644049,-0.007766715171374767,0,0,0.243,0,34
28,62104.553,65.15499999999884,-0.02255129051208496,-0.0002288091480731964,0,-0.06387905062299247,0.11021754226344191,-0.008011061266653973,0,0,0.243,0,34
