n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,679805.45,679805.45,0.0027283320426940917,0.0010763932466506959,0,0.005585053606381855,-0.005113814708343385,1.2671264902404031,0,0,0.242,0,76
1,679970.916,NaN,0,0,0,0.00003490658503988659,0,1.2670217704852835,0,0,0.242,0,76
2,680035.949,NaN,0,0,0,-0.00003490658503988659,0,1.2670217704852835,0,0,0.242,0,76
3,680106.475,NaN,0,0,0,-0.000017453292519943296,0.000017453292519943296,1.2669868639002437,0,0,0.242,0,76
4,680171.661,NaN,0,0,0,0.000017453292519943296,0,1.2670043171927634,0,0,0.242,0,76
5,680236.816,NaN,0,0,0,0.00003490658503988659,-0.00013962634015954637,1.2669519573152037,0,0,0.242,0,76
6,680301.788,NaN,0,0,0,0.00015707963267948963,-0.00019198621771937622,1.2669345040226838,0,0,0.242,0,76
7,680367.187,65.3990000000922,0,0,0,0.00031415926535897925,-0.00038397243543875244,1.2671788501179628,0,0,0.242,0,76
8,680432.22,65.0329999999376,0,0,0,0.00019198621771937622,-0.0006632251157578452,1.2673359297506424,0,0,0.242,0,76
9,680497.375,65.15500000002794,0,0,0,0.00020943951023931956,-0.0011693705988362008,1.267423196213242,0,0,0.242,0,76
10,680562.805,65.43000000005122,0,0,0,0.00013962634015954637,-0.0011344640137963143,1.267423196213242,0,0,0.242,0,76
11,680627.777,64.97199999995064,0,0,0,0.0002443460952792061,-0.001291543646475804,1.2675977291384417,0,0,0.242,0,76
12,680692.932,65.15500000002794,0,0,0,0.00013962634015954637,-0.0013439035240356337,1.2676849956010412,0,0,0.242,0,76
13,680758.239,65.30699999991339,0,0,0,0.00012217304763960306,-0.0013264502315156904,1.2675977291384417,0,0,0.242,0,76
14,680823.608,65.36900000006426,0,0,0,0.00003490658503988659,-0.0014486232791552935,1.2676326357234813,0,0,0.242,0,76
15,680888.488,64.88000000000466,0,0,0,0.000017453292519943296,-0.0016755160819145565,1.2676675423085215,0,0,0.242,0,76
16,681018.768,65.06400000001304,0,0,0,-0.0002443460952792061,-0.0017453292519943296,1.2678944351112806,0,0,0.242,0,76
17,681084.106,65.33799999998882,0,0,0,-0.00022689280275926284,-0.0020943951023931952,1.267510462675842,0,0,0.242,0,76
18,681149.139,65.0329999999376,0,0,0,-0.00015707963267948963,-0.0021991148575128553,1.2676500890160014,0,0,0.242,0,76
19,681214.324,65.18500000005588,0,0,0,-0.0004188790204786391,-0.0023911010752322315,1.2675453692608818,0,0,0.242,0,76
20,681279.541,65.21699999994598,0,0,0,-0.00008726646259971648,-0.0028099800957108703,1.2666901579274044,0,0,0.242,0,76
21,681344.696,65.15500000002794,0,0,0,-0.00020943951023931956,-0.0026529004630313807,1.2671439435329233,0,0,0.242,0,76
22,681409.82,65.1239999999525,0,0,0,-0.00020943951023931956,-0.0030717794835100195,1.2664283585396054,0,0,0.242,0,76
23,681474.975,65.15500000002794,0,0,0,-0.0002443460952792061,-0.0030717794835100195,1.2666377980498447,0,0,0.242,0,76
24,681540.191,65.2160000000149,0,0,0,-0.0003665191429188092,-0.002967059728390361,1.2667250645124446,0,0,0.242,0,76
25,681605.529,65.33799999998882,0,0,0,-0.00019198621771937622,-0.00322885911618951,1.2669519573152037,0,0,0.242,0,76
26,681670.532,65.00300000002608,0,0,0,-0.00010471975511965978,-0.003106686068549906,1.2664458118321253,0,0,0.242,0,76
27,681735.687,65.15500000002794,0,0,0,0.00022689280275926284,-0.0023911010752322315,1.2674930093833219,0,0,0.242,0,76
28,681800.903,65.2160000000149,0,0,0,0.00034906585039886593,-0.0031415926535897933,1.268418033886879,0,0,0.242,0,76
