n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,1536786.407,1536786.407,1.6862258780747653e-7,-1.0372498945798724e-7,0,0.013194689145077132,-0.022811453323565885,1.3399765332186466,0,0,0.242,0,53
1,1537022.064,NaN,1.401298464324817e-48,-4.203895392974451e-48,0,0.00003490658503988659,0.000017453292519943296,1.339784547000927,0,0,0.242,0,53
2,1537152.282,NaN,0,-8.407790785948903e-48,0,0.00010471975511965978,0,1.3398369068784868,0,0,0.242,0,53
3,1537222.564,NaN,-1.401298464324817e-48,-2.382207389352189e-47,0,0.00034906585039886593,0,1.339784547000927,0,0,0.242,0,53
4,1537292.663,NaN,-2.802596928649634e-48,-3.783505853677006e-47,0,0.0005235987755982988,-0.00003490658503988659,1.339784547000927,0,0,0.242,0,53
5,1537357.818,NaN,-7.006492321624086e-48,-5.184804318001823e-47,0,0.0007330382858376184,-0.00010471975511965978,1.3404477721166852,0,0,0.243,0,53
6,1537423.156,65.33799999998882,-1.6815581571897805e-47,-5.74532370373175e-47,0,0.0008028514559173916,-0.00022689280275926284,1.3393831212729685,0,0,0.242,0,53
7,1537488.159,65.00300000002608,-4.484155085839415e-47,-7.847271400218976e-47,0,0.0010995574287564276,-0.0006283185307179585,1.3399590799261267,0,0,0.242,0,53
8,1537553.375,65.2160000000149,-4.764414778704378e-47,-8.688050478813866e-47,0,0.001239183768915974,-0.0006806784082777885,1.3398369068784868,0,0,0.242,0,53
9,1537618.56,65.18500000005588,-4.484155085839415e-47,-9.248569864543793e-47,0,0.001308996938995747,-0.0006283185307179585,1.3398892667560467,0,0,0.242,0,53
10,1537683.746,65.18599999998696,-5.184804318001823e-47,-9.248569864543793e-47,0,0.001308996938995747,-0.0007330382858376184,1.3397147338308475,0,0,0.242,0,53
11,1537748.901,65.15500000002794,-5.184804318001823e-47,-9.528829557408757e-47,0,0.001361356816555577,-0.0007330382858376184,1.339854360171007,0,0,0.242,0,53
12,1537814.056,65.15500000002794,-5.885453550164232e-47,-9.388699710976275e-47,0,0.0013439035240356337,-0.0008377580409572782,1.339784547000927,0,0,0.242,0,53
13,1537879.211,65.15499999979511,-6.726232628759122e-47,-9.9492190967062e-47,0,0.0013962634015954637,-0.0009424777960769379,1.339854360171007,0,0,0.243,0,53
14,1537944.915,65.70400000014342,-8.96831017167883e-47,-1.14906474074635e-46,0,0.0016406094968746698,-0.0012740903539558604,1.3401859727288858,0,0,0.242,0,53
15,1538009.552,64.63699999987148,-7.847271400218976e-47,-9.108440018111311e-47,0,0.001291543646475804,-0.001117010721276371,1.340412865531645,0,0,0.243,0,53
16,1538074.737,65.18500000005588,-5.605193857299268e-47,-8.407790785948902e-47,0,0.001186823891356144,-0.0008028514559173916,1.3396449206607675,0,0,0.242,0,53
17,1538139.953,65.2160000000149,-1.0089348943138682e-46,-8.688050478813866e-47,0,0.0012217304763960308,-0.0014311699866353504,1.3406397583344043,0,0,0.243,0,53
18,1538205.078,65.125,-9.388699710976275e-47,-9.388699710976275e-47,0,0.0013264502315156904,-0.0013264502315156904,1.3397321871233672,0,0,0.243,0,53
19,1538270.263,65.18500000005588,-8.407790785948902e-47,-7.146622168056567e-47,0,0.0010122909661567112,-0.001186823891356144,1.3398020002934472,0,0,0.242,0,53
20,1538335.418,65.15500000002794,-1.387285479681569e-46,-8.828180325246348e-47,0,0.001239183768915974,-0.0019722220547535923,1.340500131994245,0,0,0.242,0,53
21,1538400.543,65.125,-7.567011707354012e-47,-9.248569864543793e-47,0,0.001308996938995747,-0.0010821041362364843,1.3393133081028885,0,0,0.242,0,53
22,1538465.911,65.36800000001676,-1.2051166793193426e-46,-9.388699710976275e-47,0,0.0013264502315156904,-0.0016929693744344998,1.3396623739532876,0,0,0.242,0,53
23,1538530.914,65.00300000002608,-8.127531093083939e-47,-1.0089348943138682e-46,0,0.0014311699866353504,-0.0011519173063162574,1.3392784015178487,0,0,0.242,0,53
24,1538596.16,65.24599999981001,-1.0369608636003646e-46,-8.828180325246348e-47,0,0.001239183768915974,-0.0014660765716752368,1.3392958548103688,0,0,0.242,0,53
25,1538661.224,65.06400000001304,-1.3592595103950726e-46,-1.2051166793193426e-46,0,0.001710422666954443,-0.0019198621771937623,1.3392958548103688,0,0,0.242,0,53
26,1538726.501,65.27700000000186,-1.2191296639625908e-46,-7.987401246651458e-47,0,0.0011344640137963143,-0.0017278759594743865,1.3386849895721704,0,0,0.242,0,53
27,1538791.687,65.18599999998696,-1.5834672646870433e-46,-4.764414778704378e-47,0,0.0006632251157578452,-0.002251474735072685,1.3393656679804484,0,0,0.242,0,53
28,1538856.811,65.12400000006892,-1.9057659114817514e-46,-4.344025239406933e-47,0,0.0006108652381980154,-0.0027052603405912107,1.3406397583344043,0,0,0.242,0,53
29,1538921.966,65.15500000002794,-2.0458957579142328e-46,-5.605193857299268e-47,0,0.0007853981633974483,-0.002897246558310587,1.3421931013686792,0,0,0.243,0,53
30,1538987.274,65.30799999996088,-1.98984381934124e-46,-7.707141553786494e-47,0,0.0010821041362364843,-0.002844886680750757,1.3452474275596693,0,0,0.242,0,53
31,1539052.276,65.002000000095,-2.14398665041697e-46,-1.4993893568275542e-46,0,0.002129301687433082,-0.0030543261909900766,1.345613946702588,0,0,0.242,0,53
32,1539117.523,65.24699999997392,-2.480298281854926e-46,-1.2891945871788317e-46,0,0.0018325957145940458,-0.003525565089028546,1.3474989022947421,0,0,0.242,0,53
33,1539182.617,65.09400000004098,-2.7185190207901452e-46,-1.2191296639625908e-46,0,0.0017453292519943296,-0.0038746309394274117,1.3477432483900214,0,0,0.242,0,53
34,1539248.199,65.58199999993667,-4.035739577255473e-46,-2.8025969286496343e-46,0,0.003996803987067014,-0.005759586531581288,1.3478828747301808,0,0,0.241,0,53
35,1539313.262,65.06300000008196,-5.633219826585765e-46,-3.026804682941605e-46,0,0.004310963252425994,-0.008028514559173916,1.3452474275596693,0,0,0.242,0,53
