n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,203281.25,NaN,0.000004597223363816738,-0.000005551648791879416,0,0.0255167136641571,0.0826413400819315,1.402598946780203,0,0,0.242,0,23
1,203356.384,NaN,0.000004264173563569784,-0.000005149566102772951,0,0.025621433419276758,0.08244935386421214,1.402616400072723,0,0,0.242,0,23
2,203421.539,NaN,0.000003995133098214865,-0.0000048246830701828,0,0.025603980126756815,0.08234463410909247,1.402616400072723,0,0,0.242,0,23
3,203496.643,NaN,0.0000037057772278785703,-0.000004475119058042765,0,0.02534218073895766,0.08239699398665229,1.402598946780203,0,0,0.242,0,23
4,203561.828,NaN,0.0000034720259718596934,-0.000004192753229290247,0,0.02518510110627818,0.08248426044925201,1.402581493487683,0,0,0.242,0,23
5,203631.958,NaN,0.000003236715914681554,-0.000003908621612936258,0,0.02522000769131806,0.08244935386421214,1.4026513066577628,0,0,0.242,0,23
6,203697.143,65.18499999999767,0.000003032598877325654,-0.000003661987604573369,0,0.0249931148885588,0.08272860654453122,1.4027385731203625,0,0,0.242,0,23
7,203762.237,65.09399999998277,0.0000028413126710802315,-0.000003430850338190794,0,0.024591689160600103,0.08285077959217083,1.402913106045562,0,0,0.242,0,23
8,203827.423,65.18600000001607,0.000002661947160959244,-0.000003214375814422965,0,0.024574235868080156,0.08230972752405258,1.402616400072723,0,0,0.242,0,23
9,203892.669,65.24599999998463,0.0000024939365684986115,-0.00000301155261695385,0,0.024521875990520327,0.08190830179609389,1.4027385731203625,0,0,0.243,0,23
10,203957.763,65.09400000001187,0.000002336601493880153,-0.0000028215539641678333,0,0.0244695161129605,0.08189084850357393,1.4028781994605222,0,0,0.243,0,23
11,204022.888,65.125,0.0000021891728974878787,-0.000002643540734425187,0,0.024434609527920613,0.0817512221634144,1.4026862132428026,0,0,0.242,0,23
12,204088.317,65.42900000000373,0.0000020510400645434856,-0.000002476744819432497,0,0.0243473430653209,0.08159414253073491,1.4026513066577628,0,0,0.241,0,23
13,204153.411,65.09399999998277,0.000001921604969538748,-0.0000023204563185572623,0,0.02420771672516135,0.08129743655789587,1.4033494383585607,0,0,0.241,0,23
14,204218.536,65.125,0.0000018003990408033132,-0.000002174049848690629,0,0.024085543677521744,0.08143706289805543,1.4026513066577628,0,0,0.243,0,23
15,204283.66,65.12400000001071,0.000001686803880147636,-0.0000020368450786918404,0,0.023823744289722597,0.08131488985041581,1.4030527323857214,0,0,0.243,0,23
16,204349.151,65.49100000000908,0.0000015802922425791621,-0.0000019083952065557243,0,0.024242623310201238,0.0805469449795383,1.4033319850660406,0,0,0.243,0,23
17,204414.062,64.91099999999278,0.0000014807031257078052,-0.0000017879987135529518,0,0.02403318379996192,0.08140215631301553,1.4027560264128824,0,0,0.242,0,23
18,204479.187,65.125,0.0000013872253475710749,-0.0000016751764342188836,0,0.02399827721492203,0.08080874436733745,1.4036810509164395,0,0,0.242,0,23
19,204544.311,65.1239999999816,0.0000012996954610571266,-0.0000015694507164880633,0,0.023701571242082997,0.08065166473465797,1.4027211198278426,0,0,0.242,0,23
20,204609.68,65.36900000000605,0.0000012176919262856245,-0.0000014703861670568586,0,0.0233001455141243,0.08052949168701835,1.40352397128376,0,0,0.243,0,23
21,204674.682,65.00200000000768,0.0000011408552527427673,-0.0000013776798732578755,0,0.02378883770468271,0.08033750546929898,1.4037334107939994,0,0,0.243,0,23
22,204739.868,65.18599999998696,0.0000010688198963180185,-0.000001290768152102828,0,0.0239459173373622,0.07958701389094142,1.4037508640865193,0,0,0.243,0,23
23,204804.992,65.12400000001071,0.0000010013383580371738,-0.000001209374750033021,0,0.02441715623540067,0.07890633548266364,1.4037683173790394,0,0,0.242,0,23
24,204870.178,65.18600000001607,9.382132557220757e-7,-0.0000011330738198012114,0,0.02420771672516135,0.0794997474283417,1.4032970784810008,0,0,0.242,0,23
25,204935.333,65.15499999999884,8.789587882347405e-7,-0.0000010616164654493332,0,0.02467895562319982,0.07853981633974483,1.4050424077329953,0,0,0.242,0,23
