n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,416711.181,NaN,1.9991983329220585e-17,-2.004480599787726e-17,0,0.004694935687864747,0.009337511498169663,1.4135247078976876,0,0,0.242,0,20
1,416775.878,64.69700000004377,1.8731266266790863e-17,-1.87807380731082e-17,0,0.005480333851262195,0.011780972450961723,1.4135247078976876,0,0,0.242,0,20
2,416846.191,NaN,1.74624481812536e-17,-1.7508504750727606e-17,0,0.006283185307179587,0.014381513036433273,1.4135072546051677,0,0,0.242,0,20
3,416911.682,NaN,1.6361412075974365e-17,-1.640441424464057e-17,0,0.006806784082777885,0.016702800941585733,1.4135072546051677,0,0,0.242,0,20
4,416976.531,NaN,1.5329854695226608e-17,-1.5370007445058253e-17,0,0.0074176493209759005,0.01891936909161853,1.4135247078976876,0,0,0.242,0,20
5,417046.783,NaN,1.4291631165183964e-17,-1.432892941398336e-17,0,0.008115781021773634,0.02129301687433082,1.4135247078976876,0,0,0.242,0,20
6,417112.121,NaN,1.339063713699188e-17,-1.3425501860133814e-17,0,0.008831366015091307,0.023282692221604357,1.4135421611902073,0,0,0.242,0,20
7,417177.001,64.88000000000466,1.2546484101758244e-17,-1.2579055059679015e-17,0,0.009494591130849153,0.02525491427635795,1.4135945210677672,0,0,0.242,0,20
8,417242.309,65.30800000001909,1.1755558616930068e-17,-1.1785995051823758e-17,0,0.010140362954087054,0.027122416575991883,1.4136119743602873,0,0,0.242,0,20
9,417307.464,65.15499999996973,1.1014553018848326e-17,-1.1042904058625874e-17,0,0.01064650843716541,0.029042278753185644,1.4136294276528074,0,0,0.242,0,20
10,417372.589,65.125,1.0320258746708815e-17,-1.0346629423455683e-17,0,0.011030480872604163,0.030857421175259747,1.413646880945327,0,0,0.242,0,20
11,417437.683,65.09400000004098,9.669745913546986e-18,-9.694326809676304e-18,0,0.011571532940722405,0.032637657012293965,1.4136992408228868,0,0,0.242,0,20
12,417502.838,65.15499999996973,9.060247262724155e-18,-9.083184914935801e-18,0,0.012164944886400474,0.034348079679248404,1.4137516007004467,0,0,0.242,0,20
13,417567.993,65.15500000002794,8.489177649685306e-18,-8.510527962153798e-18,0,0.012618730491919002,0.03600614246864302,1.4138214138705265,0,0,0.242,0,20
14,417633.422,65.42900000000373,7.954111172069501e-18,-7.973999505671032e-18,0,0.013107422682477414,0.03764675196551769,1.4138737737480864,0,0,0.242,0,20
15,417698.333,64.91099999996368,7.452770158281573e-18,-7.471305780266338e-18,0,0.01361356816555577,0.03920009499979264,1.4138912270406063,0,0,0.242,0,20
16,417763.854,65.52100000000792,6.983044225733438e-18,-7.00031014533027e-18,0,0.014102260356114183,0.0407534380340676,1.4139435869181662,0,0,0.242,0,20
17,417828.796,64.94199999998091,6.5429199771094724e-18,-6.558995815415412e-18,0,0.014538592669112763,0.04223696789826277,1.4139959467957262,0,0,0.242,0,20
18,417893.859,65.06300000002375,6.1305377515739804e-18,-6.145497200455439e-18,0,0.014957471689591403,0.04368559117741807,1.4140483066732858,0,0,0.242,0,20
19,417959.106,65.24700000003213,5.7441395322449346e-18,-5.758088894336792e-18,0,0.015428710587629874,0.04504694799397364,1.4140832132583259,0,0,0.242,0,20
20,418024.322,65.2159999999567,5.382109603775448e-18,-5.395109441933433e-18,0,0.015899949485668342,0.04642575810304917,1.4141181198433654,0,0,0.242,0,20
21,418089.355,65.03299999999581,5.042872061367153e-18,-5.054945245480842e-18,0,0.016179202165987436,0.047664941871965134,1.4141181198433654,0,0,0.242,0,20
22,418154.846,65.49100000003818,4.7250123599981365e-18,-4.736284674460197e-18,0,0.016632987771505958,0.048869219055841226,1.4141006665508458,0,0,0.242,0,20
23,418219.696,64.84999999997672,4.42718456431521e-18,-4.4377110662672126e-18,0,0.017086773377024488,0.050003683069637546,1.4141704797209254,0,0,0.242,0,20
24,418284.912,65.2160000000149,4.148146924017699e-18,-4.157948365766852e-18,0,0.017453292519943295,0.05120796025351363,1.4142053863059654,0,0,0.242,0,20
25,418350.189,65.27700000000186,3.886690299573399e-18,-3.895808609250592e-18,0,0.017784905077822218,0.05235987755982988,1.4141879330134453,0,0,0.242,0,20
26,418415.466,65.27700000000186,3.641713124634405e-18,-3.650188112788158e-18,0,0.01806415775814131,0.053476888281106257,1.4142053863059654,0,0,0.242,0,20
27,418480.529,65.06299999996554,3.4121331028523626e-18,-3.420024697063694e-18,0,0.018291050560900572,0.054332099614583476,1.4142402928910052,0,0,0.242,0,20
28,418545.684,65.15500000002794,3.1970574615008658e-18,-3.2044103427577435e-18,0,0.018622663118779494,0.05536184387326013,1.4142402928910052,0,0,0.242,0,20
29,418610.839,65.15499999996973,2.9955362531295695e-18,-3.0023561389043875e-18,0,0.018814649336498873,0.056356681546896895,1.414292652768565,0,0,0.242,0,20
30,418676.177,65.33800000004703,2.8067133391870358e-18,-2.813031357940606e-18,0,0.01895427567665842,0.05729915934297384,1.414310106061085,0,0,0.242,0,20
31,418741.18,65.00299999996787,2.6297944145269772e-18,-2.635645929884847e-18,0,0.019093902016817967,0.05824163713905078,1.414310106061085,0,0,0.242,0,20
32,418806.365,65.18499999999767,2.4640245610351537e-18,-2.469461665523579e-18,0,0.019320794819577228,0.05914920835008782,1.4143275593536049,0,0,0.242,0,20
33,418871.52,65.15500000002794,2.3086848594975826e-18,-2.3137202586107727e-18,0,0.01937315469713706,0.059899699928445384,1.414362465938645,0,0,0.242,0,20
34,418936.737,65.21700000000419,2.1631571876210052e-18,-2.1678198922374034e-18,0,0.019512781037296607,0.060789817846962496,1.4143973725236847,0,0,0.242,0,20
35,419001.922,65.18499999999767,2.0268024590467185e-18,-2.0311127979570587e-18,0,0.019617500792416264,0.061662482472959655,1.4143973725236847,0,0,0.242,0,20
36,419067.047,65.125,1.89903198587638e-18,-1.903052216002286e-18,0,0.019896753472735354,0.062430427343837164,1.4144148258162048,0,0,0.242,0,20
37,419132.171,65.1239999999525,1.779316372517957e-18,-1.7830674579248728e-18,0,0.020176006153054447,0.06319837221471467,1.4144671856937645,0,0,0.242,0,20
38,419197.57,65.399000000034,1.667148987389872e-18,-1.670652950934426e-18,0,0.020507618710933373,0.06396631708559218,1.4145195455713244,0,0,0.242,0,20
39,419262.542,64.97200000000885,1.5620523156681105e-18,-1.565323874547762e-18,0,0.020804324683772406,0.06471680866394974,1.4145719054488843,0,0,0.242,0,20
40,419327.728,65.18599999998696,1.4635794415938778e-18,-1.4666254779513227e-18,0,0.021031217486531674,0.06544984694978735,1.4145544521563642,0,0,0.242,0,20
41,419392.883,65.15499999996973,1.3712948843531665e-18,-1.3741350917044286e-18,0,0.021170843826691217,0.06595599243286572,1.414589358741404,0,0,0.242,0,20
42,419458.129,65.24600000004284,1.2848488193387608e-18,-1.287497491364825e-18,0,0.021432643214490364,0.06668903071870334,1.414624265326444,0,0,0.242,0,20
43,419523.284,65.15499999996973,1.2038428234280958e-18,-1.206316371392315e-18,0,0.021676989309769572,0.06729989595690135,1.414659171911484,0,0,0.242,0,20
44,419588.439,65.15500000002794,1.1279457067387951e-18,-1.1302555655859575e-18,0,0.02192133540504878,0.0679282144876193,1.4147115317890437,0,0,0.242,0,20
45,419653.625,65.18599999998696,1.0568337968058892e-18,-1.0589918249972563e-18,0,0.022183134792847926,0.06853907972581733,1.4147638916666034,0,0,0.242,0,20
46,419718.963,65.33799999998882,9.902012088563007e-19,-9.9220359474361e-19,0,0.022252947962927698,0.06909758508645551,1.4147987982516435,0,0,0.242,0,20
47,419783.966,65.00300000002608,9.277708572371594e-19,-9.296383531276183e-19,0,0.022444934180647077,0.06967354373961364,1.4148162515441634,0,0,0.242,0,20
48,419849.121,65.15499999996973,8.692779912128888e-19,-8.710211850183381e-19,0,0.0226543736908864,0.0702669556852917,1.4148162515441634,0,0,0.242,0,20
49,419914.306,65.18499999999767,8.144708831794769e-19,-8.161018980589742e-19,0,0.022916173078685546,0.07080800775340995,1.414886064714243,0,0,0.242,0,20
50,419979.492,65.18600000004517,7.631190342961521e-19,-7.646446465132755e-19,0,0.023160519173964753,0.0713490598215282,1.414920971299283,0,0,0.242,0,20
51,420044.708,65.2159999999567,7.14999516079109e-19,-7.164305253039359e-19,0,0.023404865269243957,0.07178539213452678,1.414955877884323,0,0,0.242,0,20
52,420109.893,65.18499999999767,6.699168227362092e-19,-6.71253811303891e-19,0,0.02357939819444339,0.07225663103256524,1.4149733311768429,0,0,0.242,0,20
53,420175.018,65.125,6.276755014148741e-19,-6.289201633913051e-19,0,0.023684117949563047,0.07271041663808378,1.4150082377618827,0,0,0.242,0,20
54,420240.386,65.36800000001676,5.880975693170617e-19,-5.892492694275315e-19,0,0.023649211364523165,0.07316420224360229,1.4150082377618827,0,0,0.242,0,20
55,420305.419,65.03299999999581,5.510162138917221e-19,-5.520933751028336e-19,0,0.023858650874762487,0.07363544114164076,1.4150256910544028,0,0,0.242,0,20
56,420370.544,65.125,5.1627097533491e-19,-5.172786269047873e-19,0,0.02403318379996192,0.07403686686959945,1.4150431443469225,0,0,0.242,0,20
57,420435.699,65.15500000002794,4.837116641171651e-19,-4.846479531612363e-19,0,0.02401573050744197,0.07431611954991854,1.4150605976394424,0,0,0.242,0,20
58,420500.946,65.24699999997392,4.532067254338671e-19,-4.540814457705848e-19,0,0.02410299697004169,0.0746128255227576,1.4150605976394424,0,0,0.242,0,20
59,420566.192,65.24599999998463,4.2462187809309664e-19,-4.254436059310517e-19,0,0.024260076602721177,0.07480481174047696,1.4150955042244824,0,0,0.242,0,20
60,420631.225,65.03299999999581,3.9784504904802007e-19,-3.9861370497787376e-19,0,0.024399702942880724,0.07515387759087583,1.4150955042244824,0,0,0.242,0,20
