n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,116069.549,116069.549,9.291021317608745e-29,-8.372462435105665e-29,0,0.02518510110627818,0.08115781021773633,1.6428958781947822,0,0,0.243,0,26
1,116225.067,NaN,7.954754422815317e-29,-7.167546427709777e-29,0,0.02530727415391778,0.08121017009529614,1.642948238072342,0,0,0.243,0,26
2,116290.1,NaN,7.45333964031487e-29,-6.715540838672199e-29,0,0.02525491427635795,0.0811927168027762,1.642930784779822,0,0,0.242,0,26
3,116365.386,NaN,6.913947368203852e-29,-6.22913105340567e-29,0,0.02535963403147761,0.08115781021773633,1.642965691364862,0,0,0.243,0,26
4,116430.664,NaN,6.478169510803286e-29,-5.836086654057541e-29,0,0.025446900494077326,0.08103563717009671,1.643000597949902,0,0,0.242,0,26
5,116495.758,NaN,6.069714590412147e-29,-5.467936362947374e-29,0,0.025446900494077326,0.08103563717009671,1.6430180512424222,0,0,0.243,0,26
6,116560.882,NaN,5.687051723836243e-29,-5.123161930981411e-29,0,0.025411993909037436,0.08105309046261666,1.6430355045349418,0,0,0.242,0,26
7,116626.159,65.27700000000186,5.328755414767935e-29,-4.800040806417391e-29,0,0.02530727415391778,0.08103563717009671,1.643052957827462,0,0,0.242,0,26
8,116691.253,65.09399999999732,4.992912983660853e-29,-4.497404489039456e-29,0,0.024923301718479025,0.08093091741497704,1.6427737051471427,0,0,0.243,0,26
9,116756.408,65.15499999999884,4.6783932163028625e-29,-4.213728566778025e-29,0,0.024975661596038857,0.08047713180945854,1.6432100374601413,0,0,0.242,0,26
10,116821.472,65.06399999999849,4.383650438357795e-29,-3.9479776596949944e-29,0,0.02485348854839925,0.08056439827205825,1.642948238072342,0,0,0.243,0,26
11,116886.657,65.18500000001222,4.107309689919755e-29,-3.6989592319688e-29,0,0.024888395133439135,0.08044222522441864,1.6431925841676212,0,0,0.242,0,26
12,116951.873,65.21600000000035,3.8484409779371957e-29,-3.465633589578264e-29,0,0.02494075501099897,0.08038986534685881,1.6431053177050217,0,0,0.242,0,26
13,117016.937,65.06399999999849,3.60589305852656e-29,-3.247060570561735e-29,0,0.024923301718479025,0.08035495876181893,1.6431053177050217,0,0,0.243,0,26
