n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,1405522.216,NaN,0,0,0,-0.000017453292519943296,0,1.6164192334420284,0,0,0.242,0,37
1,1405597.259,NaN,-1.401298464324817e-48,1.401298464324817e-48,0,0.000017453292519943296,0.000017453292519943296,1.6164017801495083,0,0,0.242,0,37
2,1405732.696,NaN,0,-2.802596928649634e-48,0,-0.00012217304763960306,-0.000017453292519943296,1.6163668735644687,0,0,0.242,0,37
3,1405807.891,NaN,5.605193857299268e-48,-5.605193857299268e-48,0,-0.00020943951023931956,-0.00017453292519943296,1.6163494202719486,0,0,0.242,0,37
4,1405878.051,NaN,5.605193857299268e-48,-5.605193857299268e-48,0,-0.00019198621771937622,-0.00019198621771937622,1.6163319669794285,0,0,0.242,0,37
5,1405943.298,65.24699999997392,1.401298464324817e-48,-5.605193857299268e-48,0,-0.00019198621771937622,-0.00003490658503988659,1.6161225274691893,0,0,0.242,0,37
6,1406008.483,65.18500000005588,1.5414283107572987e-47,-2.382207389352189e-47,0,-0.0008203047484373349,-0.0005585053606381855,1.616489046612108,0,0,0.242,0,37
7,1406073.669,65.18599999998696,2.942726775082116e-47,-2.5223372357846705e-47,0,-0.0008726646259971648,-0.001064650843716541,1.6162796071018688,0,0,0.242,0,37
8,1406138.793,65.12400000006892,3.503246160812043e-47,-2.942726775082116e-47,0,-0.0010297442586766543,-0.0012217304763960308,1.6159654478365097,0,0,0.242,0,37
9,1406204.162,65.36899999994785,3.923635700109488e-47,-3.503246160812043e-47,0,-0.0012217304763960308,-0.0013788101090755204,1.6159654478365097,0,0,0.242,0,37
10,1406269.165,65.00300000002608,4.0637655465419697e-47,-4.0637655465419697e-47,0,-0.0014660765716752368,-0.0014486232791552935,1.6161050741766694,0,0,0.242,0,37
11,1406334.381,65.2160000000149,3.923635700109488e-47,-4.764414778704378e-47,0,-0.0016755160819145565,-0.0013788101090755204,1.6159305412514697,0,0,0.242,0,37
12,1406399.536,65.15500000002794,3.923635700109488e-47,-4.90454462513686e-47,0,-0.0017278759594743865,-0.0013962634015954637,1.615616381986111,0,0,0.242,0,37
13,1406464.935,65.39899999997579,4.624284932271897e-47,-5.605193857299268e-47,0,-0.0019896753472735357,-0.0016406094968746698,1.6157560083262703,0,0,0.242,0,37
14,1406529.968,65.03300000005402,5.74532370373175e-47,-5.74532370373175e-47,0,-0.0020245819323134223,-0.0020245819323134223,1.6161050741766694,0,0,0.242,0,37
15,1406595.123,65.15499999979511,6.866362475191604e-47,-5.465064010866787e-47,0,-0.0019722220547535923,-0.0024434609527920616,1.6157560083262703,0,0,0.242,0,37
