n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,369158.386,369158.386,-0.00069993656873703,-0.003791133403778076,0,-0.00809832772925369,0.010716321607245182,1.1187211439433253,0,0,0.243,0,97
1,369534.179,NaN,0,0,0,-0.0002617993877991494,0.00005235987755982989,1.1187385972358452,0,0,0.243,0,97
2,369599.334,NaN,0,0,0,-0.0005235987755982988,-0.00005235987755982989,1.1187211439433253,0,0,0.243,0,97
3,369664.52,NaN,0,0,0,-0.0006806784082777885,-0.00010471975511965978,1.1186862373582855,0,0,0.243,0,97
4,369729.675,65.15499999996973,0,0,0,-0.0007679448708775049,-0.0007679448708775049,1.1189829433311245,0,0,0.243,0,97
5,369794.738,65.06300000002375,0,0,0,-0.001064650843716541,-0.0019024088846738192,1.1192971025964835,0,0,0.243,0,97
6,369860.137,65.39899999997579,0,0,0,-0.0013788101090755204,-0.0019024088846738192,1.119140022963804,0,0,0.243,0,97
7,369925.109,64.97200000000885,0,0,0,-0.0015882496193148398,-0.002234021442552742,1.1188782235760046,0,0,0.243,0,97
8,369990.234,65.125,0,0,0,-0.001762782544514273,-0.002251474735072685,1.1189829433311245,0,0,0.243,0,97
9,370055.45,65.2160000000149,0,0,0,-0.001954768762233649,-0.0026878070480712674,1.1191225696712839,0,0,0.243,0,97
10,370120.605,65.15499999996973,0,0,0,-0.001954768762233649,-0.0029146998508305304,1.119087663086244,0,0,0.243,0,97
11,370185.76,65.15500000002794,0,0,0,-0.0022689280275926286,-0.003159045946109736,1.1192447427189236,0,0,0.243,0,97
12,370250.885,65.125,0,0,0,-0.002303834612632515,-0.0033684854563490563,1.1189131301610447,0,0,0.243,0,97
13,370316.009,65.12400000001071,0,0,0,-0.002495820830351891,-0.0036302848441482054,1.1190353032086844,0,0,0.243,0,97
14,370381.286,65.27700000000186,0,0,0,-0.0030368728984701333,-0.004258603374866164,1.1184767978480463,0,0,0.243,0,97
15,370446.35,65.06399999995483,0,0,0,-0.0029845130209103033,-0.004433136300065597,1.119087663086244,0,0,0.243,0,97
16,370511.535,65.18499999999767,0,0,0,-0.0032637657012293962,-0.004590215932745087,1.1184069846779663,0,0,0.243,0,97
17,370576.66,65.125,0,0,0,-0.00312413936106985,-0.005148721293383272,1.119436728936643,0,0,0.243,0,97
18,370641.754,65.09400000004098,0,0,0,-0.003438298626428829,-0.0048520153205442364,1.1187211439433253,0,0,0.243,0,97
19,370706.97,65.2159999999567,0,0,0,-0.003944444109507185,-0.0056374134839416844,1.119087663086244,0,0,0.243,0,97
20,370772.094,65.12400000001071,0,0,0,-0.003892084231947355,-0.005532693728822024,1.1194541822291628,0,0,0.243,0,97
21,370837.219,65.125,0,0,0,-0.00445058959258554,-0.0054105206811824215,1.118860770283485,0,0,0.243,0,97
22,370902.526,65.3070000000298,0,0,0,-0.004485496177625427,-0.005689773361501514,1.1195938085693224,0,0,0.243,0,97
23,370967.529,65.00299999996787,0,0,0,-0.004677482395344803,-0.0061959188445798695,1.1191051163787642,0,0,0.243,0,97
24,371032.745,65.2160000000149,0,0,0,-0.004834562028024293,-0.006108652381980153,1.119087663086244,0,0,0.243,0,97
25,371097.93,65.18499999999767,0,0,0,-0.005253441048502931,-0.006108652381980153,1.119506542106723,0,0,0.243,0,97
26,371162.994,65.06400000001304,0,0,0,-0.004834562028024293,-0.006562437987498679,1.119698528324442,0,0,0.243,0,97
27,371228.149,65.15499999996973,0,0,0,-0.005375614096142535,-0.0059690260418206065,1.1202046738075206,0,0,0.243,0,97
28,371293.334,65.18499999999767,0,0,0,-0.0051836278784231585,-0.006876597252857658,1.120972618678398,0,0,0.243,0,97
29,371358.428,65.09400000004098,0,0,0,-0.004677482395344803,-0.008011061266653973,1.121286777943757,0,0,0.243,0,97
30,371423.706,65.27799999999115,0,0,0,-0.005218534463463045,-0.007679448708775049,1.121024978555958,0,0,0.243,0,97
31,371488.739,65.03299999999581,0,0,0,-0.004904375198104066,-0.007557275661135446,1.1218452833043953,0,0,0.243,0,97
32,371553.894,65.15499999996973,0,0,0,-0.00471238898038469,-0.007819075048934596,1.1222990689099137,0,0,0.243,0,97
33,371619.049,65.15500000002794,0,0,0,-0.004031710572106902,-0.0076270888312152205,1.123154280243391,0,0,0.243,0,97
