n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,1419371.032,1419371.032,0.012425013542175293,-0.07281732177734375,0,-0.04328416544945937,-0.006056292504420323,0.9699841850883686,0,0,0.812,0,36
1,1419571.594,NaN,0.0002961321473121643,-0.00024306847155094148,0,0.0021642082724729686,-0.003159045946109736,0.9764419033207475,0,0,0.8,0,36
2,1419636.749,NaN,0.00028268831968307495,-0.000046958811581134796,0,0.0019198621771937623,-0.0011519173063162574,0.9796533091444172,0,0,0.798,0,36
3,1419701.934,65.18499999982305,0.03241281509399414,-0.08924925994873047,0,0.00034906585039886593,-0.0004188790204786391,0.9828996215531267,0,0,0.806,0,36
4,1419777.282,NaN,0.031510177612304686,-0.15283790588378907,0,0.005934119456780722,-0.002897246558310587,0.9857270549413575,0,0,0.804,0,36
5,1419842.651,NaN,0.060946388244628905,-0.0037923822402954103,0,0.00968657734856853,-0.008063421144213804,0.9882228757717093,0,0,0.814,0,36
6,1419912.719,NaN,0.0935738525390625,0.04343379974365234,0,0.0037524578917878084,-0.010349802464326372,0.9878912632138304,0,0,0.894,0,36
7,1419977.844,65.125,0.09339634704589844,0.04792564392089844,0,-0.008115781021773634,-0.009040805525330627,0.987036051880353,0,0,1.178,0,36
8,1420043.06,65.2160000000149,0.09180135345458984,0.05439778518676758,0,-0.019320794819577228,-0.0037000980142279784,0.9853605357984386,0,0,1.178,0,36
9,1420108.062,65.00199999986216,0.08809939575195312,0.06490570068359375,0,-0.02642428487519415,0.0018675022996339327,0.9832835939885654,0,0,1.203,0,36
10,1420173.797,65.73500000010245,0.08210030364990234,0.08753865051269531,0,-0.033056536032772595,0.010629055144645468,0.9789202708585795,0,0,1.072,0,36
11,1420238.525,64.72799999988638,0.6240115356445313,1.302572509765625,0,-0.04235914094590238,0.02138028333693054,0.9736668298100766,0,0,1.297,0,36
12,1420303.619,65.09400000004098,0.6589993286132813,1.3844927978515624,0,-0.059271381397727425,0.02659881780039358,0.9735272034699171,0,0,1.309,0,35
13,1420368.865,65.24600000004284,0.6198876342773437,1.2809736328125,0,-0.09087929415134474,0.033894294073729875,0.9744347746809541,0,0,1.498,0,35
